"2016-11-17 11:53:16,536",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 11:59:03,173",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,32,0
"2016-11-17 11:59:04,473",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 11:59:05,923",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,46,16,17
"2016-11-17 11:59:07,356",4,4,102,4,40,40,True,LinearRegression,32,32,20,31,1,31,1
"2016-11-17 11:59:08,847",4,4,102,4,40,40,True,LinearRegression,32,32,20,18,15,22,10
"2016-11-17 11:59:10,214",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,16,16
"2016-11-17 11:59:11,589",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,15,17
"2016-11-17 11:59:13,038",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:59:14,580",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,22,30,2
"2016-11-17 11:59:16,011",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:59:17,391",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,7,34
"2016-11-17 11:59:18,747",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,33,17,18
"2016-11-17 11:59:20,096",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,57,10,28
"2016-11-17 11:59:21,560",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,6,33
"2016-11-17 11:59:23,067",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,18,14
"2016-11-17 11:59:24,466",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,6,35
"2016-11-17 11:59:26,055",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 11:59:27,460",4,4,102,4,40,40,True,LinearRegression,32,32,20,5,42,16,18
"2016-11-17 11:59:28,927",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,21,11
"2016-11-17 11:59:30,486",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,17,15
"2016-11-17 11:59:31,953",4,4,102,4,40,40,True,LinearRegression,32,32,20,2,57,9,32
"2016-11-17 11:59:33,423",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,17,15
"2016-11-17 11:59:34,878",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,22,10
"2016-11-17 11:59:36,269",4,4,102,4,40,40,True,LinearRegression,32,32,20,0,46,13,21
