"2016-11-17 12:34:35,944",I,R,Rule,Input size,Input area,Automaton size,Concat before,Estimator,Training sets,Testing sets,Distractor period,R1 successful,R1 wrong bits,R2 successful,R2 wrong bits
"2016-11-17 12:39:35,163",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,31,10,27
"2016-11-17 12:39:36,632",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:39:38,150",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:39:39,563",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,9,36
"2016-11-17 12:39:41,045",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:39:42,430",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:39:43,782",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,32,16,16
"2016-11-17 12:39:45,206",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:39:46,602",4,4,102,4,40,40,True,LinearRegression,32,32,20,10,28,15,21
"2016-11-17 12:39:48,018",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,19,18,15
"2016-11-17 12:39:49,509",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,33,18,14
"2016-11-17 12:39:51,010",4,4,102,4,40,40,True,LinearRegression,32,32,20,6,26,21,11
"2016-11-17 12:39:52,369",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,21,17,17
"2016-11-17 12:39:53,850",4,4,102,4,40,40,True,LinearRegression,32,32,20,12,23,10,26
"2016-11-17 12:39:55,294",4,4,102,4,40,40,True,LinearRegression,32,32,20,7,34,9,31
"2016-11-17 12:39:56,688",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,33,16,16
"2016-11-17 12:39:58,511",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:40:00,347",4,4,102,4,40,40,True,LinearRegression,32,32,20,32,0,32,0
"2016-11-17 12:40:02,025",4,4,102,4,40,40,True,LinearRegression,32,32,20,1,40,28,4
"2016-11-17 12:40:03,539",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,18,16,16
"2016-11-17 12:40:05,035",4,4,102,4,40,40,True,LinearRegression,32,32,20,14,23,15,20
"2016-11-17 12:40:06,514",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,27,5
"2016-11-17 12:40:08,102",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,32,0
"2016-11-17 12:40:09,794",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,19,31,1
"2016-11-17 12:40:11,186",4,4,102,4,40,40,True,LinearRegression,32,32,20,13,25,19,13
"2016-11-17 12:40:12,519",4,4,102,4,40,40,True,LinearRegression,32,32,20,15,17,24,8
"2016-11-17 12:40:13,942",4,4,102,4,40,40,True,LinearRegression,32,32,20,11,25,17,15
"2016-11-17 12:40:15,452",4,4,102,4,40,40,True,LinearRegression,32,32,20,8,33,8,29
"2016-11-17 12:40:16,887",4,4,102,4,40,40,True,LinearRegression,32,32,20,24,8,24,8
"2016-11-17 12:40:18,249",4,4,102,4,40,40,True,LinearRegression,32,32,20,16,16,17,15
"2016-11-17 12:40:19,832",4,4,102,4,40,40,True,LinearRegression,32,32,20,4,54,14,20
"2016-11-17 12:40:21,285",4,4,102,4,40,40,True,LinearRegression,32,32,20,3,52,5,39
