"2016-11-16 01:18:13,385",I,R,Rule,Input size,Input area,Automaton size,Concat before,Training sets,Testing sets,Distractor period,Successful,Soft successful
"2016-11-16 05:46:08,057",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:47:36,139",8,8,90,4,40,40,True,32,32,200,23,10
"2016-11-16 05:48:50,077",8,8,90,4,40,40,True,32,32,200,24,8
"2016-11-16 05:50:18,869",8,8,90,4,40,40,True,32,32,200,9,27
"2016-11-16 05:51:41,401",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:52:57,125",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:54:05,083",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:55:10,728",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:56:27,397",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:57:29,348",8,8,90,4,40,40,True,32,32,200,31,1
"2016-11-16 05:58:38,595",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 05:59:47,134",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:00:55,823",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:02:07,874",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:03:12,452",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:04:23,026",8,8,90,4,40,40,True,32,32,200,23,9
"2016-11-16 06:05:39,537",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:06:39,182",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:07:58,962",8,8,90,4,40,40,True,32,32,200,4,46
"2016-11-16 06:09:19,129",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:10:22,760",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:11:28,618",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:12:35,625",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:13:41,786",8,8,90,4,40,40,True,32,32,200,29,3
"2016-11-16 06:14:52,153",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:15:55,636",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:17:16,336",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:18:30,500",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:19:46,795",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:21:00,320",8,8,90,4,40,40,True,32,32,200,0,66
"2016-11-16 06:22:13,636",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 06:23:35,119",8,8,90,4,40,40,True,32,32,200,14,21
"2016-11-16 06:24:48,984",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:19:34,834",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:20:51,509",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:22:06,515",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 01:23:15,183",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:24:27,506",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:25:42,550",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:26:48,909",8,8,90,4,40,40,True,32,32,200,10,29
"2016-11-16 01:28:00,490",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:29:27,965",8,8,90,4,40,40,True,32,32,200,2,33
"2016-11-16 01:30:41,481",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:31:48,918",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:32:57,112",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:34:02,830",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:35:38,147",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:36:49,398",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:38:14,541",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:39:32,555",8,8,90,4,40,40,True,32,32,200,19,18
"2016-11-16 01:40:40,704",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:41:41,638",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:42:48,011",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:44:08,439",8,8,90,4,40,40,True,32,32,200,21,17
"2016-11-16 01:45:34,260",8,8,90,4,40,40,True,32,32,200,11,24
"2016-11-16 01:46:55,126",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:48:02,528",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:49:10,036",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:50:28,568",8,8,90,4,40,40,True,32,32,200,0,73
"2016-11-16 01:51:31,632",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:52:34,771",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:53:47,583",8,8,90,4,40,40,True,32,32,200,28,4
"2016-11-16 01:54:55,326",8,8,90,4,40,40,True,32,32,200,16,16
"2016-11-16 01:55:58,991",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:57:11,146",8,8,90,4,40,40,True,32,32,200,15,17
"2016-11-16 01:58:18,949",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 01:59:31,229",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:00:55,805",8,8,90,4,40,40,True,32,32,200,0,65
"2016-11-16 02:02:13,219",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:03:20,447",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:04:32,651",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 02:05:43,414",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:07:04,486",8,8,90,4,40,40,True,32,32,200,5,28
"2016-11-16 02:08:35,858",8,8,90,4,40,40,True,32,32,200,0,140
"2016-11-16 02:10:08,666",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 02:11:39,596",8,8,90,4,40,40,True,32,32,200,2,74
"2016-11-16 02:12:52,255",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:14:09,558",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 02:15:17,376",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:16:19,877",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:17:31,909",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:18:32,673",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:19:42,089",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:20:49,588",8,8,90,4,40,40,True,32,32,200,18,18
"2016-11-16 02:22:05,030",8,8,90,4,40,40,True,32,32,200,5,40
"2016-11-16 02:23:13,847",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:24:24,662",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:25:29,573",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:26:46,425",8,8,90,4,40,40,True,32,32,200,7,37
"2016-11-16 02:27:54,285",8,8,90,4,40,40,True,32,32,200,8,29
"2016-11-16 02:29:04,180",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:30:20,114",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:31:28,536",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:32:46,425",8,8,90,4,40,40,True,32,32,200,30,2
"2016-11-16 02:34:02,614",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:35:26,511",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:36:38,136",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:38:04,233",8,8,90,4,40,40,True,32,32,200,0,35
"2016-11-16 02:39:07,155",8,8,90,4,40,40,True,32,32,200,32,0
"2016-11-16 02:40:23,302",8,8,90,4,40,40,True,32,32,200,32,0
